"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US20043"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20045"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20047"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20049"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20051"|"US141"|"Salina - Ks"
"US"|"US20053"|"US141"|"Salina - Ks"
"US"|"US20055"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20057"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20059"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20061"|"US167"|"Topeka - Ks"
"US"|"US20063"|"US141"|"Salina - Ks"
"US"|"US20065"|"US141"|"Salina - Ks"
"US"|"US20067"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20069"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20071"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20073"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20075"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20077"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20079"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20081"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20083"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20085"|"US167"|"Topeka - Ks"
"US"|"US20087"|"US167"|"Topeka - Ks"
"US"|"US20089"|"US141"|"Salina - Ks"
"US"|"US20091"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20093"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20095"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20097"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20099"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20101"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20103"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20105"|"US141"|"Salina - Ks"
"US"|"US20107"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20109"|"US141"|"Salina - Ks"
"US"|"US20111"|"US167"|"Topeka - Ks"
"US"|"US20113"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20115"|"US179"|"Wichita-Winfield - Ks"
